City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cap Malheureux,MU,-19.9842,57.6142,80.47,76,28,4.0,scattered clouds
80,Devonport,AU,-41.1667,146.35,70.79,63,7,11.12,clear sky
81,Cape Canaveral,US,28.4058,-80.6048,67.98,88,1,3.44,clear sky
82,Sale,MA,34.0389,-6.8166,61.75,100,75,0.0,broken clouds
83,Hermanus,ZA,-34.4187,19.2345,62.91,85,96,12.46,light rain
84,Fortuna,US,40.5982,-124.1573,37.42,95,90,0.0,overcast clouds
85,Tasiilaq,GL,65.6145,-37.6368,10.56,83,7,4.47,clear sky
86,Salalah,OM,17.0151,54.0924,71.69,73,20,2.3,few clouds
87,Torbay,CA,47.6666,-52.7314,35.76,95,100,5.01,light rain
88,Qaanaaq,GL,77.484,-69.3632,-4.38,56,82,8.39,broken clouds
89,Saurimo,AO,-9.6608,20.3916,64.06,98,100,1.66,light rain
90,Aguie,NE,13.506,7.7786,60.51,23,0,10.47,clear sky
91,Lompoc,US,34.6391,-120.4579,51.26,81,90,0.0,overcast clouds
92,Bambous Virieux,MU,-20.3428,57.7575,80.22,72,38,8.52,scattered clouds
93,Hobyo,SO,5.3505,48.5268,76.28,73,95,14.27,overcast clouds
94,Loukhi,RU,66.0764,33.0381,7.86,94,23,6.82,few clouds
95,Rikitea,PF,-23.1203,-134.9692,75.96,83,100,25.21,light rain
96,Kodiak,US,57.79,-152.4072,47.01,78,46,15.57,scattered clouds
97,Sola,VU,-13.8833,167.55,83.3,74,75,10.31,broken clouds
98,Khatanga,RU,71.9667,102.5,-29.16,100,97,5.46,overcast clouds
99,Castro,BR,-24.7911,-50.0119,64.96,75,71,5.57,broken clouds
100,Port Moresby,PG,-9.4431,147.1797,87.24,61,28,6.55,scattered clouds
101,Bluff,NZ,-46.6,168.3333,61.81,68,79,18.16,broken clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,68.88,78,10,18.99,clear sky
103,Katsuura,JP,35.1333,140.3,46.51,38,14,9.64,few clouds
104,Sulangan,PH,11.1373,123.7228,79.88,79,51,21.54,broken clouds
105,Yei,SS,4.095,30.6779,69.64,73,75,1.12,broken clouds
106,Moron,AR,-34.6534,-58.6198,78.55,61,14,3.0,few clouds
107,Portland,US,45.5234,-122.6762,32.2,90,90,1.01,light snow
108,Dingle,PH,10.9995,122.6711,78.94,85,90,16.91,overcast clouds
109,Ilulissat,GL,69.2167,-51.1,-2.76,79,41,4.43,scattered clouds
110,Hachinohe,JP,40.5,141.5,27.82,65,53,15.93,light snow
111,Namatanai,PG,-3.6667,152.4333,86.36,66,81,7.09,broken clouds
112,Leshukonskoye,RU,64.8989,45.7622,-21.71,100,38,1.99,scattered clouds
113,Victoria,HK,22.2855,114.1577,61.32,80,99,1.01,overcast clouds
114,Murovani Kurylivtsi,UA,48.7235,27.5189,24.01,96,100,12.17,snow
115,Cap-Aux-Meules,CA,47.3821,-61.8597,34.41,93,76,17.27,broken clouds
116,Port Elizabeth,ZA,-33.918,25.5701,65.1,88,20,25.32,few clouds
117,Ust-Omchug,RU,61.15,149.6333,-22.47,94,96,9.55,overcast clouds
118,Nikolskoye,RU,59.7035,30.7861,4.39,100,84,3.58,broken clouds
119,Mangan,IN,27.5167,88.5333,57.56,36,30,3.0,scattered clouds
120,Yiyang,CN,28.5892,112.3283,37.58,69,91,1.9,overcast clouds
121,Sigli,ID,5.3848,95.9609,81.68,72,28,6.51,scattered clouds
122,Chuy,UY,-33.6971,-53.4616,60.35,85,0,2.48,clear sky
123,Port Alfred,ZA,-33.5906,26.891,66.43,88,94,16.49,overcast clouds
124,Makhinjauri,GE,41.6739,41.694,44.46,61,0,20.71,clear sky
125,San Juan,AR,-31.5375,-68.5364,75.76,58,98,11.14,moderate rain
126,Muravlenko,RU,63.7898,74.523,5.32,95,100,11.48,overcast clouds
127,Severo-Kurilsk,RU,50.6789,156.125,31.55,95,100,16.02,snow
128,Pisco,PE,-13.7,-76.2167,68.05,88,0,11.5,clear sky
129,Kalasin,TH,16.5,103.5,77.99,64,66,9.24,broken clouds
130,Beringovskiy,RU,63.05,179.3167,3.27,97,100,13.2,snow
131,Aykhal,RU,66.0,111.5,-17.59,99,97,8.14,overcast clouds
132,Verkhnevilyuysk,RU,63.4453,120.3167,-13.97,98,100,4.7,overcast clouds
133,Owo,NG,7.1962,5.5868,71.35,85,92,3.27,overcast clouds
134,Airai,TL,-8.9266,125.4092,72.19,63,100,3.83,overcast clouds
135,Pilar,BR,-9.5972,-35.9567,76.93,90,61,4.34,broken clouds
136,Carson City,US,39.1638,-119.7674,32.83,70,90,11.01,overcast clouds
137,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,93,100,26.37,overcast clouds
138,Kidal,ML,18.4411,1.4078,63.28,20,0,10.87,clear sky
139,Ouargaye,BF,11.5033,0.0572,72.32,17,55,8.72,broken clouds
140,Ler,SS,8.3018,30.1418,75.22,42,85,4.14,overcast clouds
141,Jablah,SY,35.3614,35.9256,46.69,71,0,4.61,clear sky
142,Zeya,RU,53.75,127.2667,-10.98,69,55,0.65,broken clouds
143,Tommot,RU,58.9564,126.2925,-14.03,92,100,8.55,overcast clouds
144,Nemuro,JP,43.3236,145.575,26.73,64,27,13.33,scattered clouds
145,Maniitsoq,GL,65.4167,-52.9,19.26,54,100,5.97,overcast clouds
146,La Asuncion,VE,11.0333,-63.8628,75.83,84,33,11.36,scattered clouds
147,Golspie,GB,57.9727,-3.978,31.14,96,100,0.69,overcast clouds
148,Sitka,US,57.0531,-135.33,30.09,86,75,5.75,broken clouds
149,Hilo,US,19.7297,-155.09,74.93,38,75,8.05,light rain
150,Rabak,SD,13.1809,32.74,71.73,24,18,11.23,few clouds
151,Thompson,CA,55.7435,-97.8558,-7.67,89,100,8.81,overcast clouds
152,Geraldton,AU,-28.7667,114.6,106.21,9,13,14.97,few clouds
153,Saskylakh,RU,71.9167,114.0833,-30.35,100,98,3.74,overcast clouds
154,Puerto Madryn,AR,-42.7692,-65.0385,75.67,35,0,2.73,clear sky
155,Ribeira Grande,PT,38.5167,-28.7,66.15,89,99,38.36,overcast clouds
156,Leua,SK,48.2156,18.6071,34.5,67,36,4.07,scattered clouds
157,Yumen,CN,40.2833,97.2,18.86,58,100,19.82,overcast clouds
158,Leningradskiy,RU,69.3833,178.4167,-32.28,99,34,4.14,scattered clouds
159,Padang,ID,-0.9492,100.3543,83.77,71,98,2.15,overcast clouds
160,Buchanan,LR,5.8808,-10.0467,78.46,84,90,2.19,light rain
161,Marsa Matruh,EG,31.3525,27.2453,56.14,71,77,8.3,broken clouds
162,Kavaratti,IN,10.5669,72.642,80.42,71,10,7.7,clear sky
163,Sur,OM,22.5667,59.5289,72.61,73,5,8.01,clear sky
164,Santa Fe,AR,-31.6333,-60.7,75.74,23,44,6.06,light rain
165,Bathsheba,BB,13.2167,-59.5167,75.81,78,20,11.5,few clouds
166,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,82.0,49,32,6.04,scattered clouds
167,Kinkala,CG,-4.3614,14.7644,69.31,97,100,2.35,overcast clouds
168,Grojec,PL,51.8625,20.8676,21.0,91,9,12.08,clear sky
169,Penzance,GB,50.1186,-5.5371,51.76,82,97,36.35,overcast clouds
170,Gazanjyk,TM,39.2446,55.5154,36.86,62,76,2.28,broken clouds
171,Pacific Grove,US,36.6177,-121.9166,46.81,81,83,10.0,broken clouds
172,Kasongo-Lunda,CD,-6.4667,16.8167,69.06,99,99,1.28,light rain
173,Baloda Bazar,IN,21.6667,82.1667,68.36,56,0,3.67,clear sky
174,Killybegs,IE,54.6333,-8.45,42.46,88,100,4.92,overcast clouds
175,Hanzhong,CN,33.0728,107.0303,38.68,51,42,0.4,scattered clouds
176,Bilibino,RU,68.0546,166.4372,-32.28,96,61,5.14,broken clouds
177,Tiksi,RU,71.6872,128.8694,-16.62,100,100,5.91,overcast clouds
178,Inhambane,MZ,-23.865,35.3833,77.18,87,68,10.36,broken clouds
179,Dasoguz,TM,41.8363,59.9666,23.11,79,99,8.77,overcast clouds
180,Sembe,CG,1.6481,14.5806,69.31,93,90,2.06,overcast clouds
181,Umm Lajj,SA,25.0213,37.2685,67.98,61,88,7.14,overcast clouds
182,Pangnirtung,CA,66.1451,-65.7125,2.26,66,100,5.08,overcast clouds
183,Souillac,MU,-20.5167,57.5167,80.37,74,30,7.81,scattered clouds
184,Taoudenni,ML,22.6783,-3.9836,67.21,28,83,9.35,broken clouds
185,Avarua,CK,-21.2078,-159.775,78.85,78,75,2.3,broken clouds
186,Vila Velha,BR,-20.3297,-40.2925,76.95,82,0,1.14,light rain
187,Touros,BR,-5.1989,-35.4608,79.7,76,100,11.61,overcast clouds
188,Borovoy,RU,55.4333,86.0833,13.28,79,90,11.18,light snow
189,Talaya,RU,61.3833,152.75,-22.02,95,100,7.07,overcast clouds
190,Kaitangata,NZ,-46.2817,169.8464,59.63,47,92,7.31,overcast clouds
191,Serik,TR,36.9169,31.0989,53.85,82,100,3.44,overcast clouds
192,Marau,BR,-28.4492,-52.2,65.82,43,100,2.91,overcast clouds
193,Nanortalik,GL,60.1432,-45.2371,24.82,68,7,6.76,clear sky
194,Halifax,CA,44.6453,-63.5724,29.7,82,36,1.99,scattered clouds
195,Esperance,AU,-33.8667,121.9,74.1,49,0,16.55,clear sky
196,Grand Gaube,MU,-20.0064,57.6608,80.38,76,27,4.0,scattered clouds
197,Belluno,IT,46.145,12.2214,41.25,90,100,3.4,overcast clouds
198,Ericeira,PT,38.9627,-9.4156,62.35,95,45,11.79,scattered clouds
199,Miramar,US,25.9873,-80.2323,73.42,82,1,0.0,clear sky
200,Sao Filipe,CV,14.8961,-24.4956,75.9,64,3,8.81,clear sky
201,Ati,TD,13.2154,18.3353,66.92,26,4,8.48,clear sky
202,Furano,JP,43.2818,142.4743,15.3,77,75,5.06,broken clouds
203,Lazaro Cardenas,MX,17.9583,-102.2,74.41,78,0,2.19,clear sky
204,Hobart,AU,-42.8794,147.3294,78.03,48,20,1.01,few clouds
205,Kuopio,FI,62.8924,27.677,15.75,92,90,11.5,light snow
206,Lata,PT,40.1629,-8.3327,59.81,92,98,4.97,overcast clouds
207,Kavieng,PG,-2.5744,150.7967,83.55,72,76,3.31,light rain
208,Bambanglipuro,ID,-7.95,110.2833,85.21,68,78,5.77,broken clouds
209,Burns Lake,CA,54.2331,-125.7533,-6.2,98,43,1.92,scattered clouds
